timestamp(ms),rx1 ,rx2 ,rx3 ,rx4 ,rx5 ,rx6 ,rx7 ,rx8 ,
"1712614903.22",,,,"1468","1048","1416","1608",,
"1712614903.221",,,,,,,,"1508",
"1712614903.241","1460","1068",,,,,,,
"1712614903.242",,,"1460","1468","1048","1420",,,
"1712614903.243",,,,,,,"1608","1508",
"1712614903.263","1460","1064",,,,,,,
"1712614903.264",,,"1468","1460","1052",,,,
"1712614903.265",,,,,,"1416","1608","1508",
"1712614903.285","1456",,,,,,,,
"1712614903.286",,"1068","1464","1464",,,,,
"1712614903.287",,,,,"1048","1420","1604","1508",
"1712614903.308","1456","1068","1464","1464",,,,,
"1712614903.309",,,,,"1048","1420","1608",,
"1712614903.31",,,,,,,,"1508",
"1712614903.33","1460","1064","1464",,,,,,
"1712614903.331",,,,"1464","1048","1420","1608",,
"1712614903.332",,,,,,,,"1508",
"1712614903.352","1460","1068",,,,,,,
"1712614903.353",,,"1464","1464","1048","1420",,,
"1712614903.354",,,,,,,"1608","1508",
"1712614903.374","1460","1064",,,,,,,
"1712614903.375",,,"1464","1464","1052",,,,
"1712614903.376",,,,,,"1416","1608","1508",
"1712614903.396","1456",,,,,,,,
"1712614903.397",,"1064","1464","1468","1048",,,,
"1712614903.398",,,,,,"1416","1608","1508",
"1712614903.419","1460","1068","1464","1464",,,,,
"1712614903.42",,,,,"1048","1420","1604",,
"1712614903.421",,,,,,,,"1508",
"1712614903.441","1456","1068","1464",,,,,,
"1712614903.442",,,,"1464","1052","1416","1608",,
"1712614903.443",,,,,,,,"1508",
"1712614903.463","1460","1064",,,,,,,
"1712614903.464",,,"1464","1464","1052","1416",,,
"1712614903.465",,,,,,,"1608","1508",
"1712614903.485","1460","1068",,,,,,,
"1712614903.486",,,"1464","1464","1048",,,,
"1712614903.487",,,,,,"1416","1608","1508",
"1712614903.507","1456",,,,,,,,
"1712614903.508",,"1068","1464","1464","1052",,,,
"1712614903.509",,,,,,"1416","1608","1508",
"1712614903.53","1460","1064","1464","1468",,,,,
"1712614903.531",,,,,"1048","1416","1608","1508",
"1712614903.552","1460","1064","1464",,,,,,
"1712614903.553",,,,"1464","1052","1416","1608",,
"1712614903.554",,,,,,,,"1508",
"1712614903.574","1460","1064",,,,,,,
